0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:30:45 +0530] "GET / HTTP/1.1" 200 11437
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:30:51 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:30:51 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:30:51 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:30:51 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:30:51 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:30:51 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:30:51 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:30:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:30:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:30:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:30:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:30:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:01 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:01 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:02 +0530] "POST /server/api/authn/login HTTP/1.1" 401 160
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "OPTIONS /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "OPTIONS /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3 HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:06 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
